#bin	chrom	chromStart	chromEnd
181	chr12	113868760	114234100
182	chr12	114886656	115096938
183	chr12	115383844	115752643
183	chr12	115847470	116380289
185	chr12	117633731	118453325
198	chr12	131368533	131486652
1479	chr12	117180355	117278498
1	chr13	24843212	25829336
1	chr13	33430178	33621263
2	chr13	108560900	109462403
12	chr13	28246257	28490204
12	chr13	29332873	29999115
13	chr13	34134728	36032282
13	chr13	36370518	36845123
13	chr13	38349180	40021783
13	chr13	40151376	41299338
14	chr13	42902874	43319385
14	chr13	43956009	44328032
14	chr13	46120189	46550513
14	chr13	49174922	49297950
15	chr13	51172159	51915461
15	chr13	52415834	52922006
16	chr13	59736092	59966686
16	chr13	60755440	62866513
17	chr13	67991028	73281377
18	chr13	76451961	77511015
18	chr13	77908063	78695435
18	chr13	78784686	79872674
18	chr13	80942302	82911229
19	chr13	87931710	91004298
19	chr13	91152897	91993553
20	chr13	95325185	95701053
20	chr13	96017401	97860526
21	chr13	101201652	101780721
94	chr13	22191232	22491685
98	chr13	26464841	27035124
99	chr13	27274001	27514660
99	chr13	28038828	28128357
103	chr13	31784677	32304227
108	chr13	36971838	37412711
114	chr13	43427651	43539432
117	chr13	46632431	46893325
119	chr13	48294611	48549876
123	chr13	53035927	53167557
130	chr13	60076221	60239266
149	chr13	80132541	80339827
154	chr13	85243731	85413912
154	chr13	85537525	85787776
166	chr13	98105062	98482202
168	chr13	100316082	100598878
175	chr13	107221711	107856246
0	chr14	66177986	67622352
1	chr14	24930945	28757582
1	chr14	33185098	34099726
1	chr14	39940343	42048966
2	chr14	91987090	92328801
11	chr14	19085169	20767451
11	chr14	24057956	24410622
12	chr14	29262650	29663334
12	chr14	30406663	30649057
13	chr14	34174571	34903513
13	chr14	36354890	37410268
14	chr14	43480610	45363176
14	chr14	45743188	49023251
14	chr14	49271073	50040356
15	chr14	54007178	54829226
17	chr14	72289012	72932654
18	chr14	76461548	76597953
18	chr14	78263646	80734864
18	chr14	81333070	83526979
19	chr14	84039076	85498436
19	chr14	87375705	88887870
19	chr14	89096971	89254150
20	chr14	93310278	93401967
20	chr14	93802442	94391240
20	chr14	94859716	95884299
20	chr14	96038196	96498068
93	chr14	21160446	21431858
94	chr14	22043788	22614050
100	chr14	28870557	29063784
102	chr14	30767265	31015168
102	chr14	31202077	31344398
103	chr14	31928011	32249643
107	chr14	35899408	36121432
110	chr14	39049373	39474963
113	chr14	42701796	42860714
126	chr14	56186686	56575923
127	chr14	56824006	57655080
128	chr14	57744306	58534139
130	chr14	60016150	60549992
140	chr14	70503387	71273331
146	chr14	76701061	77156167
155	chr14	86084335	86680310
159	chr14	90431681	90691929
160	chr14	91310988	91571984
161	chr14	92646865	92880254
163	chr14	94647269	94790450
172	chr14	104394549	104547590
1	chr15	33448127	34264353
2	chr15	92119666	92388615
2	chr15	100300857	101120461
11	chr15	23088038	25108859
12	chr15	30238475	30656435
12	chr15	31783678	32643270
13	chr15	37435396	38056629
14	chr15	45039888	45367964
14	chr15	45984904	47664179
14	chr15	47768865	48576544
15	chr15	53105146	55462067
16	chr15	61368072	62118357
18	chr15	79310602	80158263
19	chr15	86407893	88257930
19	chr15	88365313	89153841
20	chr15	93621476	94544933
20	chr15	94854827	95780408
20	chr15	96916670	99182321
97	chr15	25686932	25909064
101	chr15	29455185	29958593
102	chr15	30962171	31184484
116	chr15	45502687	45689546
128	chr15	57866811	58485153
130	chr15	59833156	59930171
130	chr15	60003709	60609148
132	chr15	62427068	62579978
140	chr15	70460024	70711098
145	chr15	76254698	76398625
149	chr15	80501182	80692322
151	chr15	81837106	82151184
151	chr15	82245102	82332085
152	chr15	83245448	83473525
152	chr15	83560242	83652044
160	chr15	91599715	92001360
170	chr15	101853332	102278475
1	chr16	5153534	8604427
1	chr16	16306498	17252655
10	chr16	9256669	10111875
10	chr16	10284419	10586769
10	chr16	12676771	13996229
11	chr16	17679110	18760489
11	chr16	20944983	21146434
11	chr16	22584184	23378301
11	chr16	23708029	24511414
12	chr16	25279205	27162453
14	chr16	48668530	50095450
15	chr16	50411012	51847148
15	chr16	51937545	53054142
15	chr16	53369575	53695591
16	chr16	59742823	64365401
16	chr16	65621770	66102287
17	chr16	72341992	72492418
17	chr16	73268416	74325185
18	chr16	75696573	79619775
18	chr16	80344788	80955024
91	chr16	19158163	19498186
92	chr16	19950883	20850896
93	chr16	21669393	21769777
99	chr16	27924610	28060476
126	chr16	55604938	56311096
129	chr16	58787392	59470218
134	chr16	64494301	64888015
135	chr16	65163927	65305457
135	chr16	65471597	65554460
141	chr16	71536323	71731178
141	chr16	72007026	72264859
149	chr16	79763154	80179238
150	chr16	81259028	81336759
151	chr16	81796255	82656092
152	chr16	83049222	83539881
152	chr16	83617085	83816818
0	chr17	66537335	67512097
1	chr17	49376689	53493375
9	chr17	2940237	3428140
9	chr17	5748826	6319498
10	chr17	9317059	10549140
10	chr17	10647623	11887557
10	chr17	12579357	13231914
12	chr17	30833643	31543708
12	chr17	31623758	32549151
15	chr17	54272145	54752810
15	chr17	56439051	56700775
16	chr17	63805260	64158288
79	chr17	6587677	6889982
86	chr17	14284259	14611122
87	chr17	14832420	15010050
104	chr17	32695788	33281062
124	chr17	53849425	54184804
125	chr17	55059209	55513288
126	chr17	55755484	55905280
127	chr17	56865380	57149331
133	chr17	63288709	63508670
138	chr17	68894344	69181122
139	chr17	69508956	69891676
141	chr17	71390272	72169525
1	chr18	8233427	8595004
1	chr18	24143313	25399161
1	chr18	41520804	42581083
1	chr18	48733824	51648852
1	chr18	58674415	59207251
2	chr18	74929142	77102271
9	chr18	867086	2093983
9	chr18	4018362	5438596
9	chr18	5588676	7897188
11	chr18	18799110	19096126
11	chr18	22937813	23575169
12	chr18	26837473	29419305
13	chr18	34473334	34839824
13	chr18	37387024	38429559
13	chr18	38733889	39503391
13	chr18	39652166	41413473
14	chr18	42647828	43190586
14	chr18	43861218	45358078
14	chr18	47904301	48352660
15	chr18	54390248	55223688
16	chr18	60660744	60981822
16	chr18	61674475	64855949
17	chr18	68133728	70705238
17	chr18	72997410	74061055
83	chr18	10580584	11302316
84	chr18	12079955	12231127
94	chr18	22022728	22560028
95	chr18	23675540	24038439
97	chr18	25786231	26011575
101	chr18	29520866	29866629
103	chr18	32371779	32474625
104	chr18	33336161	33527159
109	chr18	38520226	38641181
116	chr18	45465163	45964657
118	chr18	47393224	47791262
123	chr18	52669363	52754131
128	chr18	57738413	58554794
130	chr18	60275254	60372665
10	chr19	8810537	9646867
11	chr19	22872169	24184849
12	chr19	31922028	32821171
15	chr19	51343261	51812005
15	chr19	52284692	52473786
79	chr19	6870953	7050239
87	chr19	14691761	15187448
104	chr19	32915292	33061032
105	chr19	33770689	33859095
105	chr19	33940434	34205880
105	chr19	34317789	34596983
106	chr19	34998733	35449152
111	chr19	40038648	40278122
112	chr19	41403171	41622895
113	chr19	41955864	42325258
122	chr19	51932037	52158679
125	chr19	55003716	55553380
126	chr19	56221080	56586631
127	chr19	56686953	56807121
1	chr20	14542172	17471683
1	chr20	40261076	42072608
1	chr20	58671114	58776663
9	chr20	5199470	5529473
9	chr20	6580338	8001873
10	chr20	11902827	12928298
10	chr20	13025335	14386121
11	chr20	18573971	19658140
11	chr20	20494990	21281512
11	chr20	21384404	23023005
11	chr20	23654659	24924548
13	chr20	38529351	39585210
14	chr20	45041711	45302756
14	chr20	46978857	47230608
15	chr20	51157997	52161107
15	chr20	52932789	54918893
15	chr20	55097577	55916250
15	chr20	56300330	56748504
73	chr20	63619	246068
74	chr20	1458160	1742748
74	chr20	1928704	2073710
75	chr20	2147269	2425238
78	chr20	5769012	5945254
82	chr20	9504450	10259638
83	chr20	10705477	11134229
90	chr20	18010913	18467006
95	chr20	23413689	23552288
114	chr20	43742045	43915830
115	chr20	44078980	44396993
121	chr20	50814697	51069458
123	chr20	52578547	52704973
604	chr20	2520500	2610263
916	chr20	43401091	43494501
1022	chr20	57293410	57408403
1	chr21	16674270	16988551
1	chr21	22656290	25316067
1	chr21	33117155	33617224
10	chr21	15476457	16225963
12	chr21	25675856	26685769
12	chr21	30925863	32564000
13	chr21	40818667	40972056
88	chr21	16444520	16587315
90	chr21	18221740	18802774
91	chr21	18888902	19154231
99	chr21	27567911	27751030
99	chr21	27894211	28086297
104	chr21	32746656	33002915
110	chr21	39286147	39528282
111	chr21	39892332	40005127
722	chr21	17977239	18076895
1	chr22	25036394	25723031
1	chr22	33280031	35650242
11	chr22	17656906	18012930
11	chr22	22350741	23405944
12	chr22	25859395	26819841
12	chr22	32380102	32859970
